sample_cnt,a_pipe          0,b_pipe          0,acc_pipe          0,valid_pipe          0,a_pipe          1,b_pipe          1,acc_pipe          1,valid_pipe          1,a_pipe          2,b_pipe          2,acc_pipe          2,valid_pipe          2,a_pipe          3,b_pipe          3,acc_pipe          3,valid_pipe          3,a_pipe          4,b_pipe          4,acc_pipe          4,valid_pipe          4,a_pipe          5,b_pipe          5,acc_pipe          5,valid_pipe          5,a_pipe          6,b_pipe          6,acc_pipe          6,valid_pipe          6,a_pipe          7,b_pipe          7,acc_pipe          7,valid_pipe          7,a_pipe          8,b_pipe          8,acc_pipe          8,valid_pipe          8,a_pipe          9,b_pipe          9,acc_pipe          9,valid_pipe          9,a_pipe         10,b_pipe         10,acc_pipe         10,valid_pipe         10,a_pipe         11,b_pipe         11,acc_pipe         11,valid_pipe         11,a_pipe         12,b_pipe         12,acc_pipe         12,valid_pipe         12,p,valid_out
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0,0,0,0,0
7,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0
8,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0
9,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0
10,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0
11,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0
12,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,1773383,0,0,0,0,0
